,Author,Repository,Language,Star,Fork
0,deepmind,mujoco,C,"1,710",95
1,arthurspk,guiadevbrasil,,"1,514",214
2,datreeio,datree,Go,"4,256",97
3,psf,black,Python,"22,956","1,472"
4,cloudreve,Cloudreve,Go,"10,897","1,913"
5,Spikeysanju,Einsen,Kotlin,265,10
6,paritytech,substrate,Rust,"5,789","1,755"
7,ianstormtaylor,slate,TypeScript,"22,491","2,485"
8,google,jax,Python,"14,527","1,363"
9,Yin-Hongwei,music-website,Vue,"1,195",427
10,python,mypy,Python,"11,524","1,928"
11,toniblyx,prowler,Shell,"4,017",762
12,mperham,sidekiq,Ruby,"11,291","2,013"
13,sudheerj,javascript-interview-questions,JavaScript,"5,768","1,810"
14,airbnb,lottie-ios,Swift,"22,062","3,232"
15,jwasham,coding-interview-university,,"195,019","52,487"
16,Snailclimb,JavaGuide,Java,"112,378","38,430"
17,CoinAlpha,hummingbot,Python,"2,476","1,017"
18,puppeteer,puppeteer,TypeScript,"73,946","7,811"
19,TechXueXi,TechXueXi,Python,622,208
20,GitSquared,edex-ui,JavaScript,"34,003","1,829"
21,deepfakes,faceswap,Python,"38,749","11,238"
22,craftzdog,dotfiles-public,Vim script,577,127
23,Footsiefat,zspotify,Python,241,31
24,vuetifyjs,vuetify,TypeScript,"32,407","5,914"
